,symbol,historical
234,0001.HK,"{'date': '2020-03-04', 'open': 67.0, 'high': 67.650002, 'low': 66.550003, 'close': 67.349998, 'adjClose': 63.79562, 'volume': 4622504.0, 'unadjustedVolume': 4622504.0, 'change': 0.35, 'changePercent': 0.522, 'vwap': 67.18333, 'label': 'March 04, 20', 'changeOverTime': 0.00522}"
235,0001.HK,"{'date': '2020-03-03', 'open': 67.050003, 'high': 67.599998, 'low': 66.800003, 'close': 66.900002, 'adjClose': 63.36937, 'volume': 4279217.0, 'unadjustedVolume': 4279217.0, 'change': -0.15, 'changePercent': -0.224, 'vwap': 67.1, 'label': 'March 03, 20', 'changeOverTime': -0.00224}"
236,0001.HK,"{'date': '2020-03-02', 'open': 67.0, 'high': 67.75, 'low': 66.699997, 'close': 66.800003, 'adjClose': 63.274647, 'volume': 6143809.0, 'unadjustedVolume': 6143809.0, 'change': -0.2, 'changePercent': -0.299, 'vwap': 67.08333, 'label': 'March 02, 20', 'changeOverTime': -0.00299}"
237,0001.HK,"{'date': '2020-02-28', 'open': 67.5, 'high': 67.949997, 'low': 67.099998, 'close': 67.849998, 'adjClose': 64.269234, 'volume': 7898920.0, 'unadjustedVolume': 7898920.0, 'change': 0.35, 'changePercent': 0.519, 'vwap': 67.63333, 'label': 'February 28, 20', 'changeOverTime': 0.00519}"
238,0001.HK,"{'date': '2020-02-27', 'open': 67.650002, 'high': 69.300003, 'low': 67.650002, 'close': 68.800003, 'adjClose': 65.169098, 'volume': 4910456.0, 'unadjustedVolume': 4910456.0, 'change': 1.15, 'changePercent': 1.7, 'vwap': 68.58334, 'label': 'February 27, 20', 'changeOverTime': 0.017}"
239,0001.HK,"{'date': '2020-02-26', 'open': 68.0, 'high': 68.5, 'low': 67.599998, 'close': 68.300003, 'adjClose': 64.695488, 'volume': 4077821.0, 'unadjustedVolume': 4077821.0, 'change': 0.3, 'changePercent': 0.441, 'vwap': 68.13333, 'label': 'February 26, 20', 'changeOverTime': 0.00441}"
240,0001.HK,"{'date': '2020-02-25', 'open': 68.400002, 'high': 68.75, 'low': 68.099998, 'close': 68.449997, 'adjClose': 64.837563, 'volume': 3732077.0, 'unadjustedVolume': 3732077.0, 'change': 0.04999, 'changePercent': 0.073, 'vwap': 68.43333, 'label': 'February 25, 20', 'changeOverTime': 0.00073}"
241,0001.HK,"{'date': '2020-02-24', 'open': 69.099998, 'high': 69.300003, 'low': 68.75, 'close': 68.75, 'adjClose': 65.121742, 'volume': 3727285.0, 'unadjustedVolume': 3727285.0, 'change': -0.35, 'changePercent': -0.507, 'vwap': 68.93333, 'label': 'February 24, 20', 'changeOverTime': -0.00507}"
242,0001.HK,"{'date': '2020-02-21', 'open': 70.0, 'high': 70.0, 'low': 69.199997, 'close': 69.400002, 'adjClose': 65.737434, 'volume': 3245677.0, 'unadjustedVolume': 3245677.0, 'change': -0.6, 'changePercent': -0.857, 'vwap': 69.53333, 'label': 'February 21, 20', 'changeOverTime': -0.00857}"
243,0001.HK,"{'date': '2020-02-20', 'open': 70.800003, 'high': 70.800003, 'low': 69.599998, 'close': 69.949997, 'adjClose': 66.2584, 'volume': 2293526.0, 'unadjustedVolume': 2293526.0, 'change': -0.85001, 'changePercent': -1.201, 'vwap': 70.11667, 'label': 'February 20, 20', 'changeOverTime': -0.01201}"
244,0001.HK,"{'date': '2020-02-19', 'open': 70.050003, 'high': 70.150002, 'low': 69.599998, 'close': 70.050003, 'adjClose': 66.353134, 'volume': 4076532.0, 'unadjustedVolume': 4076532.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 69.93333, 'label': 'February 19, 20', 'changeOverTime': 0.0}"
245,0001.HK,"{'date': '2020-02-18', 'open': 70.5, 'high': 70.900002, 'low': 70.199997, 'close': 70.300003, 'adjClose': 66.589943, 'volume': 2087473.0, 'unadjustedVolume': 2087473.0, 'change': -0.2, 'changePercent': -0.284, 'vwap': 70.46667, 'label': 'February 18, 20', 'changeOverTime': -0.00284}"
246,0001.HK,"{'date': '2020-02-17', 'open': 71.400002, 'high': 71.849998, 'low': 70.599998, 'close': 71.400002, 'adjClose': 67.631882, 'volume': 2667249.0, 'unadjustedVolume': 2667249.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 71.28333, 'label': 'February 17, 20', 'changeOverTime': 0.0}"
247,0001.HK,"{'date': '2020-02-14', 'open': 70.550003, 'high': 71.099998, 'low': 70.300003, 'close': 70.849998, 'adjClose': 67.110901, 'volume': 2793060.0, 'unadjustedVolume': 2793060.0, 'change': 0.29999, 'changePercent': 0.425, 'vwap': 70.75, 'label': 'February 14, 20', 'changeOverTime': 0.00425}"
248,0001.HK,"{'date': '2020-02-13', 'open': 71.0, 'high': 71.5, 'low': 70.300003, 'close': 70.5, 'adjClose': 66.779381, 'volume': 3355267.0, 'unadjustedVolume': 3355267.0, 'change': -0.5, 'changePercent': -0.704, 'vwap': 70.76667, 'label': 'February 13, 20', 'changeOverTime': -0.00704}"
249,0001.HK,"{'date': '2020-02-12', 'open': 70.900002, 'high': 71.050003, 'low': 69.849998, 'close': 70.800003, 'adjClose': 67.063553, 'volume': 5000457.0, 'unadjustedVolume': 5000457.0, 'change': -0.1, 'changePercent': -0.141, 'vwap': 70.56667, 'label': 'February 12, 20', 'changeOverTime': -0.00141}"
250,0001.HK,"{'date': '2020-02-11', 'open': 69.699997, 'high': 70.800003, 'low': 69.699997, 'close': 70.199997, 'adjClose': 66.495209, 'volume': 3235246.0, 'unadjustedVolume': 3235246.0, 'change': 0.5, 'changePercent': 0.717, 'vwap': 70.23333, 'label': 'February 11, 20', 'changeOverTime': 0.00717}"
251,0001.HK,"{'date': '2020-02-10', 'open': 69.5, 'high': 70.5, 'low': 69.5, 'close': 69.949997, 'adjClose': 66.2584, 'volume': 3401742.0, 'unadjustedVolume': 3401742.0, 'change': 0.45, 'changePercent': 0.647, 'vwap': 69.98333, 'label': 'February 10, 20', 'changeOverTime': 0.00647}"
252,0001.HK,"{'date': '2020-02-07', 'open': 70.25, 'high': 70.599998, 'low': 70.0, 'close': 70.300003, 'adjClose': 66.589943, 'volume': 5258996.0, 'unadjustedVolume': 5258996.0, 'change': 0.05, 'changePercent': 0.071, 'vwap': 70.3, 'label': 'February 07, 20', 'changeOverTime': 0.00071}"
253,0001.HK,"{'date': '2020-02-06', 'open': 69.0, 'high': 70.5, 'low': 69.0, 'close': 70.25, 'adjClose': 66.542572, 'volume': 6292835.0, 'unadjustedVolume': 6292835.0, 'change': 1.25, 'changePercent': 1.812, 'vwap': 69.91667, 'label': 'February 06, 20', 'changeOverTime': 0.01812}"
254,0001.HK,"{'date': '2020-02-05', 'open': 69.300003, 'high': 69.300003, 'low': 68.199997, 'close': 68.75, 'adjClose': 65.121742, 'volume': 4596057.0, 'unadjustedVolume': 4596057.0, 'change': -0.55, 'changePercent': -0.794, 'vwap': 68.75, 'label': 'February 05, 20', 'changeOverTime': -0.00794}"
255,0001.HK,"{'date': '2020-02-04', 'open': 68.849998, 'high': 69.150002, 'low': 68.5, 'close': 68.5, 'adjClose': 64.884933, 'volume': 5403104.0, 'unadjustedVolume': 5403104.0, 'change': -0.35, 'changePercent': -0.508, 'vwap': 68.71667, 'label': 'February 04, 20', 'changeOverTime': -0.00508}"
256,0001.HK,"{'date': '2020-02-03', 'open': 68.650002, 'high': 69.900002, 'low': 68.199997, 'close': 68.449997, 'adjClose': 64.837563, 'volume': 6240002.0, 'unadjustedVolume': 6240002.0, 'change': -0.20001, 'changePercent': -0.291, 'vwap': 68.85, 'label': 'February 03, 20', 'changeOverTime': -0.00291}"
257,0001.HK,"{'date': '2020-01-31', 'open': 70.099998, 'high': 70.5, 'low': 69.050003, 'close': 69.300003, 'adjClose': 65.642708, 'volume': 5833460.0, 'unadjustedVolume': 5833460.0, 'change': -0.79999, 'changePercent': -1.141, 'vwap': 69.61667, 'label': 'January 31, 20', 'changeOverTime': -0.01141}"
258,0001.HK,"{'date': '2020-01-30', 'open': 72.0, 'high': 72.199997, 'low': 69.599998, 'close': 69.900002, 'adjClose': 66.211052, 'volume': 7286027.0, 'unadjustedVolume': 7286027.0, 'change': -2.1, 'changePercent': -2.917, 'vwap': 70.56667, 'label': 'January 30, 20', 'changeOverTime': -0.02917}"
259,0001.HK,"{'date': '2020-01-29', 'open': 72.199997, 'high': 72.5, 'low': 71.599998, 'close': 71.900002, 'adjClose': 68.105492, 'volume': 7187376.0, 'unadjustedVolume': 7187376.0, 'change': -0.29999, 'changePercent': -0.415, 'vwap': 72.0, 'label': 'January 29, 20', 'changeOverTime': -0.00415}"
260,0001.HK,"{'date': '2020-01-24', 'open': 74.599998, 'high': 74.599998, 'low': 73.949997, 'close': 74.349998, 'adjClose': 70.426193, 'volume': 1854541.0, 'unadjustedVolume': 1854541.0, 'change': -0.25, 'changePercent': -0.335, 'vwap': 74.3, 'label': 'January 24, 20', 'changeOverTime': -0.00335}"
261,0001.HK,"{'date': '2020-01-23', 'open': 74.349998, 'high': 74.5, 'low': 73.650002, 'close': 74.150002, 'adjClose': 70.236755, 'volume': 4057309.0, 'unadjustedVolume': 4057309.0, 'change': -0.2, 'changePercent': -0.269, 'vwap': 74.1, 'label': 'January 23, 20', 'changeOverTime': -0.00269}"
262,0001.HK,"{'date': '2020-01-22', 'open': 75.099998, 'high': 75.199997, 'low': 73.599998, 'close': 74.550003, 'adjClose': 70.615646, 'volume': 5551781.0, 'unadjustedVolume': 5551781.0, 'change': -0.54999, 'changePercent': -0.732, 'vwap': 74.45, 'label': 'January 22, 20', 'changeOverTime': -0.00732}"
263,0001.HK,"{'date': '2020-01-21', 'open': 74.5, 'high': 75.300003, 'low': 73.650002, 'close': 74.199997, 'adjClose': 70.284111, 'volume': 6259527.0, 'unadjustedVolume': 6259527.0, 'change': -0.3, 'changePercent': -0.403, 'vwap': 74.38333, 'label': 'January 21, 20', 'changeOverTime': -0.00403}"
264,0001.HK,"{'date': '2020-01-20', 'open': 76.0, 'high': 76.0, 'low': 75.099998, 'close': 75.300003, 'adjClose': 71.326065, 'volume': 4426256.0, 'unadjustedVolume': 4426256.0, 'change': -0.7, 'changePercent': -0.921, 'vwap': 75.46667, 'label': 'January 20, 20', 'changeOverTime': -0.00921}"
265,0001.HK,"{'date': '2020-01-17', 'open': 75.449997, 'high': 75.699997, 'low': 74.849998, 'close': 75.300003, 'adjClose': 71.326065, 'volume': 3601304.0, 'unadjustedVolume': 3601304.0, 'change': -0.14999, 'changePercent': -0.199, 'vwap': 75.28333, 'label': 'January 17, 20', 'changeOverTime': -0.00199}"
266,0001.HK,"{'date': '2020-01-16', 'open': 75.150002, 'high': 75.25, 'low': 74.349998, 'close': 75.0, 'adjClose': 71.041893, 'volume': 11143190.0, 'unadjustedVolume': 11143190.0, 'change': -0.15, 'changePercent': -0.2, 'vwap': 74.86667, 'label': 'January 16, 20', 'changeOverTime': -0.002}"
267,0001.HK,"{'date': '2020-01-15', 'open': 75.25, 'high': 75.25, 'low': 74.150002, 'close': 75.0, 'adjClose': 71.041893, 'volume': 5126656.0, 'unadjustedVolume': 5126656.0, 'change': -0.25, 'changePercent': -0.332, 'vwap': 74.8, 'label': 'January 15, 20', 'changeOverTime': -0.00332}"
268,0001.HK,"{'date': '2020-01-14', 'open': 75.599998, 'high': 75.599998, 'low': 74.75, 'close': 75.099998, 'adjClose': 71.13662, 'volume': 6117313.0, 'unadjustedVolume': 6117313.0, 'change': -0.5, 'changePercent': -0.661, 'vwap': 75.15, 'label': 'January 14, 20', 'changeOverTime': -0.00661}"
269,0001.HK,"{'date': '2020-01-13', 'open': 74.5, 'high': 75.300003, 'low': 74.099998, 'close': 74.900002, 'adjClose': 70.947174, 'volume': 6417244.0, 'unadjustedVolume': 6417244.0, 'change': 0.4, 'changePercent': 0.537, 'vwap': 74.76667, 'label': 'January 13, 20', 'changeOverTime': 0.00537}"
270,0001.HK,"{'date': '2020-01-10', 'open': 73.900002, 'high': 74.599998, 'low': 73.650002, 'close': 74.050003, 'adjClose': 70.142036, 'volume': 4162726.0, 'unadjustedVolume': 4162726.0, 'change': 0.15, 'changePercent': 0.203, 'vwap': 74.1, 'label': 'January 10, 20', 'changeOverTime': 0.00203}"
271,0001.HK,"{'date': '2020-01-09', 'open': 73.150002, 'high': 73.550003, 'low': 72.849998, 'close': 73.5, 'adjClose': 69.621056, 'volume': 3889068.0, 'unadjustedVolume': 3889068.0, 'change': 0.35, 'changePercent': 0.478, 'vwap': 73.3, 'label': 'January 09, 20', 'changeOverTime': 0.00478}"
272,0001.HK,"{'date': '2020-01-08', 'open': 71.699997, 'high': 72.449997, 'low': 71.25, 'close': 72.150002, 'adjClose': 68.3423, 'volume': 4943850.0, 'unadjustedVolume': 4943850.0, 'change': 0.45001, 'changePercent': 0.628, 'vwap': 71.95, 'label': 'January 08, 20', 'changeOverTime': 0.00628}"
273,0001.HK,"{'date': '2020-01-07', 'open': 74.050003, 'high': 74.300003, 'low': 72.800003, 'close': 73.050003, 'adjClose': 69.194801, 'volume': 4152215.0, 'unadjustedVolume': 4152215.0, 'change': -1.0, 'changePercent': -1.35, 'vwap': 73.38334, 'label': 'January 07, 20', 'changeOverTime': -0.0135}"
274,0001.HK,"{'date': '2020-01-06', 'open': 73.5, 'high': 74.650002, 'low': 73.199997, 'close': 73.550003, 'adjClose': 69.668419, 'volume': 3232362.0, 'unadjustedVolume': 3232362.0, 'change': 0.05, 'changePercent': 0.068, 'vwap': 73.8, 'label': 'January 06, 20', 'changeOverTime': 0.00068}"
275,0001.HK,"{'date': '2020-01-03', 'open': 75.0, 'high': 75.25, 'low': 73.849998, 'close': 74.099998, 'adjClose': 70.189384, 'volume': 2836418.0, 'unadjustedVolume': 2836418.0, 'change': -0.9, 'changePercent': -1.2, 'vwap': 74.4, 'label': 'January 03, 20', 'changeOverTime': -0.012}"
276,0001.HK,"{'date': '2020-01-02', 'open': 74.5, 'high': 75.199997, 'low': 74.300003, 'close': 74.5, 'adjClose': 70.568283, 'volume': 2294978.0, 'unadjustedVolume': 2294978.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 74.66667, 'label': 'January 02, 20', 'changeOverTime': 0.0}"
277,0001.HK,"{'date': '2019-12-31', 'open': 74.949997, 'high': 75.300003, 'low': 74.300003, 'close': 74.300003, 'adjClose': 70.378845, 'volume': 2084229.0, 'unadjustedVolume': 2084229.0, 'change': -0.64999, 'changePercent': -0.867, 'vwap': 74.63334, 'label': 'December 31, 19', 'changeOverTime': -0.00867}"
278,0001.HK,"{'date': '2019-12-30', 'open': 75.0, 'high': 75.699997, 'low': 74.550003, 'close': 74.949997, 'adjClose': 70.99453, 'volume': 3516626.0, 'unadjustedVolume': 3516626.0, 'change': -0.05, 'changePercent': -0.067, 'vwap': 75.06667, 'label': 'December 30, 19', 'changeOverTime': -0.00067}"
279,0001.HK,"{'date': '2019-12-27', 'open': 75.5, 'high': 75.5, 'low': 74.599998, 'close': 74.949997, 'adjClose': 70.99453, 'volume': 2857541.0, 'unadjustedVolume': 2857541.0, 'change': -0.55, 'changePercent': -0.728, 'vwap': 75.01667, 'label': 'December 27, 19', 'changeOverTime': -0.00728}"
280,0001.HK,"{'date': '2019-12-24', 'open': 74.900002, 'high': 75.449997, 'low': 74.5, 'close': 74.650002, 'adjClose': 70.710365, 'volume': 1662965.0, 'unadjustedVolume': 1662965.0, 'change': -0.25, 'changePercent': -0.334, 'vwap': 74.86667, 'label': 'December 24, 19', 'changeOverTime': -0.00334}"
281,0001.HK,"{'date': '2019-12-23', 'open': 74.349998, 'high': 75.300003, 'low': 74.349998, 'close': 74.550003, 'adjClose': 70.615646, 'volume': 2702268.0, 'unadjustedVolume': 2702268.0, 'change': 0.20001, 'changePercent': 0.269, 'vwap': 74.73333, 'label': 'December 23, 19', 'changeOverTime': 0.00269}"
282,0001.HK,"{'date': '2019-12-20', 'open': 73.25, 'high': 75.650002, 'low': 73.25, 'close': 74.599998, 'adjClose': 70.663002, 'volume': 6236534.0, 'unadjustedVolume': 6236534.0, 'change': 1.35, 'changePercent': 1.843, 'vwap': 74.5, 'label': 'December 20, 19', 'changeOverTime': 0.01843}"
283,0001.HK,"{'date': '2019-12-19', 'open': 74.75, 'high': 74.75, 'low': 73.449997, 'close': 73.599998, 'adjClose': 69.715775, 'volume': 3926189.0, 'unadjustedVolume': 3926189.0, 'change': -1.15, 'changePercent': -1.538, 'vwap': 73.93333, 'label': 'December 19, 19', 'changeOverTime': -0.01538}"
284,0001.HK,"{'date': '2019-12-18', 'open': 75.449997, 'high': 75.449997, 'low': 73.599998, 'close': 74.0, 'adjClose': 70.094666, 'volume': 6788116.0, 'unadjustedVolume': 6788116.0, 'change': -1.45, 'changePercent': -1.922, 'vwap': 74.35, 'label': 'December 18, 19', 'changeOverTime': -0.01922}"
285,0001.HK,"{'date': '2019-12-17', 'open': 74.599998, 'high': 75.800003, 'low': 74.050003, 'close': 75.449997, 'adjClose': 71.468147, 'volume': 5413850.0, 'unadjustedVolume': 5413850.0, 'change': 0.85, 'changePercent': 1.139, 'vwap': 75.1, 'label': 'December 17, 19', 'changeOverTime': 0.01139}"
286,0001.HK,"{'date': '2019-12-16', 'open': 73.699997, 'high': 75.0, 'low': 73.699997, 'close': 74.75, 'adjClose': 70.805084, 'volume': 5064258.0, 'unadjustedVolume': 5064258.0, 'change': 1.05, 'changePercent': 1.425, 'vwap': 74.48333, 'label': 'December 16, 19', 'changeOverTime': 0.01425}"
287,0001.HK,"{'date': '2019-12-13', 'open': 72.449997, 'high': 74.599998, 'low': 72.099998, 'close': 74.25, 'adjClose': 70.331474, 'volume': 9627285.0, 'unadjustedVolume': 9627285.0, 'change': 1.8, 'changePercent': 2.484, 'vwap': 73.65, 'label': 'December 13, 19', 'changeOverTime': 0.02484}"
288,0001.HK,"{'date': '2019-12-12', 'open': 69.75, 'high': 71.050003, 'low': 69.75, 'close': 70.949997, 'adjClose': 67.205635, 'volume': 5495404.0, 'unadjustedVolume': 5495404.0, 'change': 1.2, 'changePercent': 1.72, 'vwap': 70.58333, 'label': 'December 12, 19', 'changeOverTime': 0.0172}"
289,0001.HK,"{'date': '2019-12-11', 'open': 69.050003, 'high': 70.0, 'low': 69.050003, 'close': 69.75, 'adjClose': 66.068962, 'volume': 4570355.0, 'unadjustedVolume': 4570355.0, 'change': 0.7, 'changePercent': 1.014, 'vwap': 69.6, 'label': 'December 11, 19', 'changeOverTime': 0.01014}"
290,0001.HK,"{'date': '2019-12-10', 'open': 69.75, 'high': 70.25, 'low': 69.099998, 'close': 69.699997, 'adjClose': 66.021591, 'volume': 2437093.0, 'unadjustedVolume': 2437093.0, 'change': -0.05, 'changePercent': -0.072, 'vwap': 69.68333, 'label': 'December 10, 19', 'changeOverTime': -0.00072}"
291,0001.HK,"{'date': '2019-12-09', 'open': 70.0, 'high': 70.349998, 'low': 69.599998, 'close': 69.949997, 'adjClose': 66.2584, 'volume': 3032630.0, 'unadjustedVolume': 3032630.0, 'change': -0.05, 'changePercent': -0.071, 'vwap': 69.96666, 'label': 'December 09, 19', 'changeOverTime': -0.00071}"
292,0001.HK,"{'date': '2019-12-06', 'open': 69.449997, 'high': 69.949997, 'low': 69.300003, 'close': 69.699997, 'adjClose': 66.021591, 'volume': 5192567.0, 'unadjustedVolume': 5192567.0, 'change': 0.25, 'changePercent': 0.36, 'vwap': 69.65, 'label': 'December 06, 19', 'changeOverTime': 0.0036}"
293,0001.HK,"{'date': '2019-12-05', 'open': 69.050003, 'high': 69.449997, 'low': 68.900002, 'close': 69.25, 'adjClose': 65.595352, 'volume': 4550830.0, 'unadjustedVolume': 4550830.0, 'change': 0.2, 'changePercent': 0.29, 'vwap': 69.2, 'label': 'December 05, 19', 'changeOverTime': 0.0029}"
294,0001.HK,"{'date': '2019-12-04', 'open': 69.099998, 'high': 69.699997, 'low': 68.75, 'close': 68.75, 'adjClose': 65.121742, 'volume': 7241036.0, 'unadjustedVolume': 7241036.0, 'change': -0.35, 'changePercent': -0.507, 'vwap': 69.06667, 'label': 'December 04, 19', 'changeOverTime': -0.00507}"
295,0001.HK,"{'date': '2019-12-03', 'open': 70.5, 'high': 71.0, 'low': 69.550003, 'close': 70.5, 'adjClose': 66.779381, 'volume': 4031734.0, 'unadjustedVolume': 4031734.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 70.35, 'label': 'December 03, 19', 'changeOverTime': 0.0}"
296,0001.HK,"{'date': '2019-12-02', 'open': 71.0, 'high': 71.5, 'low': 70.75, 'close': 71.0, 'adjClose': 67.252991, 'volume': 2905149.0, 'unadjustedVolume': 2905149.0, 'change': 0.0, 'changePercent': 0.0, 'vwap': 71.08333, 'label': 'December 02, 19', 'changeOverTime': 0.0}"
297,0001.HK,"{'date': '2019-11-29', 'open': 71.449997, 'high': 71.949997, 'low': 71.0, 'close': 71.099998, 'adjClose': 67.34771, 'volume': 5085085.0, 'unadjustedVolume': 5085085.0, 'change': -0.35, 'changePercent': -0.49, 'vwap': 71.35, 'label': 'November 29, 19', 'changeOverTime': -0.0049}"
298,0001.HK,"{'date': '2019-11-28', 'open': 71.0, 'high': 72.5, 'low': 71.0, 'close': 72.400002, 'adjClose': 68.579109, 'volume': 3033556.0, 'unadjustedVolume': 3033556.0, 'change': 1.4, 'changePercent': 1.972, 'vwap': 71.96667, 'label': 'November 28, 19', 'changeOverTime': 0.01972}"
299,0001.HK,"{'date': '2019-11-27', 'open': 72.300003, 'high': 72.699997, 'low': 71.599998, 'close': 71.75, 'adjClose': 67.963409, 'volume': 4291461.0, 'unadjustedVolume': 4291461.0, 'change': -0.55, 'changePercent': -0.761, 'vwap': 72.01667, 'label': 'November 27, 19', 'changeOverTime': -0.00761}"
300,0001.HK,"{'date': '2019-11-26', 'open': 71.900002, 'high': 72.400002, 'low': 71.599998, 'close': 72.199997, 'adjClose': 68.389664, 'volume': 5522137.0, 'unadjustedVolume': 5522137.0, 'change': 0.29999, 'changePercent': 0.417, 'vwap': 72.06667, 'label': 'November 26, 19', 'changeOverTime': 0.00417}"
301,0001.HK,"{'date': '2019-11-25', 'open': 71.800003, 'high': 72.949997, 'low': 71.75, 'close': 71.849998, 'adjClose': 68.058136, 'volume': 4452211.0, 'unadjustedVolume': 4452211.0, 'change': 0.04999, 'changePercent': 0.07, 'vwap': 72.18333, 'label': 'November 25, 19', 'changeOverTime': 0.0007}"
302,0001.HK,"{'date': '2019-11-22', 'open': 71.800003, 'high': 72.199997, 'low': 71.5, 'close': 71.75, 'adjClose': 67.963409, 'volume': 3500861.0, 'unadjustedVolume': 3500861.0, 'change': -0.05, 'changePercent': -0.07, 'vwap': 71.81667, 'label': 'November 22, 19', 'changeOverTime': -0.0007}"
303,0001.HK,"{'date': '2019-11-21', 'open': 72.0, 'high': 72.0, 'low': 71.0, 'close': 71.599998, 'adjClose': 67.821327, 'volume': 5719166.0, 'unadjustedVolume': 5719166.0, 'change': -0.4, 'changePercent': -0.556, 'vwap': 71.53333, 'label': 'November 21, 19', 'changeOverTime': -0.00556}"
304,0001.HK,"{'date': '2019-11-20', 'open': 72.699997, 'high': 72.900002, 'low': 71.5, 'close': 72.900002, 'adjClose': 69.052727, 'volume': 3388034.0, 'unadjustedVolume': 3388034.0, 'change': 0.20001, 'changePercent': 0.275, 'vwap': 72.43333, 'label': 'November 20, 19', 'changeOverTime': 0.00275}"
305,0001.HK,"{'date': '2019-11-19', 'open': 71.5, 'high': 73.150002, 'low': 71.099998, 'close': 73.150002, 'adjClose': 69.289536, 'volume': 3813926.0, 'unadjustedVolume': 3813926.0, 'change': 1.65, 'changePercent': 2.308, 'vwap': 72.46667, 'label': 'November 19, 19', 'changeOverTime': 0.02308}"
306,0001.HK,"{'date': '2019-11-18', 'open': 72.25, 'high': 72.25, 'low': 71.050003, 'close': 72.0, 'adjClose': 68.200218, 'volume': 4833053.0, 'unadjustedVolume': 4833053.0, 'change': -0.25, 'changePercent': -0.346, 'vwap': 71.76667, 'label': 'November 18, 19', 'changeOverTime': -0.00346}"
307,0001.HK,"{'date': '2019-11-15', 'open': 72.0, 'high': 72.5, 'low': 70.849998, 'close': 70.949997, 'adjClose': 67.205635, 'volume': 5226501.0, 'unadjustedVolume': 5226501.0, 'change': -1.05, 'changePercent': -1.458, 'vwap': 71.43333, 'label': 'November 15, 19', 'changeOverTime': -0.01458}"
308,0001.HK,"{'date': '2019-11-14', 'open': 72.099998, 'high': 72.949997, 'low': 71.099998, 'close': 71.400002, 'adjClose': 67.631882, 'volume': 5122346.0, 'unadjustedVolume': 5122346.0, 'change': -0.7, 'changePercent': -0.971, 'vwap': 71.81667, 'label': 'November 14, 19', 'changeOverTime': -0.00971}"
309,0001.HK,"{'date': '2019-11-13', 'open': 73.400002, 'high': 73.400002, 'low': 71.849998, 'close': 72.650002, 'adjClose': 68.81591, 'volume': 4284730.0, 'unadjustedVolume': 4284730.0, 'change': -0.75, 'changePercent': -1.022, 'vwap': 72.63333, 'label': 'November 13, 19', 'changeOverTime': -0.01022}"
310,0001.HK,"{'date': '2019-11-12', 'open': 74.0, 'high': 74.25, 'low': 73.300003, 'close': 73.800003, 'adjClose': 69.905228, 'volume': 3030406.0, 'unadjustedVolume': 3030406.0, 'change': -0.2, 'changePercent': -0.27, 'vwap': 73.78334, 'label': 'November 12, 19', 'changeOverTime': -0.0027}"
311,0001.HK,"{'date': '2019-11-11', 'open': 74.949997, 'high': 75.0, 'low': 72.849998, 'close': 73.5, 'adjClose': 69.621056, 'volume': 4129653.0, 'unadjustedVolume': 4129653.0, 'change': -1.45, 'changePercent': -1.935, 'vwap': 73.78333, 'label': 'November 11, 19', 'changeOverTime': -0.01935}"
312,0001.HK,"{'date': '2019-11-08', 'open': 75.5, 'high': 75.5, 'low': 74.75, 'close': 75.150002, 'adjClose': 71.183975, 'volume': 3638300.0, 'unadjustedVolume': 3638300.0, 'change': -0.35, 'changePercent': -0.464, 'vwap': 75.13333, 'label': 'November 08, 19', 'changeOverTime': -0.00464}"
313,0001.HK,"{'date': '2019-11-07', 'open': 74.199997, 'high': 75.449997, 'low': 74.199997, 'close': 75.199997, 'adjClose': 71.231339, 'volume': 3573131.0, 'unadjustedVolume': 3573131.0, 'change': 1.0, 'changePercent': 1.348, 'vwap': 74.95, 'label': 'November 07, 19', 'changeOverTime': 0.01348}"
314,0001.HK,"{'date': '2019-11-06', 'open': 73.5, 'high': 75.0, 'low': 73.5, 'close': 74.75, 'adjClose': 70.805084, 'volume': 4049632.0, 'unadjustedVolume': 4049632.0, 'change': 1.25, 'changePercent': 1.701, 'vwap': 74.41667, 'label': 'November 06, 19', 'changeOverTime': 0.01701}"
315,0001.HK,"{'date': '2019-11-05', 'open': 73.800003, 'high': 74.5, 'low': 73.599998, 'close': 74.050003, 'adjClose': 70.142036, 'volume': 4045702.0, 'unadjustedVolume': 4045702.0, 'change': 0.25, 'changePercent': 0.339, 'vwap': 74.05, 'label': 'November 05, 19', 'changeOverTime': 0.00339}"
316,0001.HK,"{'date': '2019-11-04', 'open': 72.800003, 'high': 73.75, 'low': 72.75, 'close': 73.550003, 'adjClose': 69.668419, 'volume': 4254929.0, 'unadjustedVolume': 4254929.0, 'change': 0.75, 'changePercent': 1.03, 'vwap': 73.35, 'label': 'November 04, 19', 'changeOverTime': 0.0103}"
317,0001.HK,"{'date': '2019-11-01', 'open': 71.75, 'high': 72.800003, 'low': 71.75, 'close': 72.800003, 'adjClose': 68.958, 'volume': 2784249.0, 'unadjustedVolume': 2784249.0, 'change': 1.05, 'changePercent': 1.463, 'vwap': 72.45, 'label': 'November 01, 19', 'changeOverTime': 0.01463}"
