,Net Revenue (Sales),Cost of Revenue (Sales),Gross Profit Margin,Gross Profit Margin Ratio,Research and Development (R&D),"Selling, General, and Administrative (SG&A)",Selling & Marketing Expenses (S&M),Total Operating Expenses,Cost & Expenses,"Interest Expense/Income, Net",Depreciation & Amortization (D&A),EBITDA,Operating Income,Pretax Income (Earnings),Pretax Income (Earnings) Margin,Provision For Income Taxes,Net Income (Earnings),Earnings Per Share (EPS),Earnings Per Share (EPS) Diluted,Shares Outstanding,Shares Outstanding (Diluted),Year,QQ-YYYY
10,3963000000.0,2892250000.0,3963000000.0,0.25,0.0,3010250000.0,0.0,5902500000.0,0.0,2892250000.0,217250000.0,4062250000.0,952750000.0,952750000.0,0.0,337500000.0,615250000.0,0.45238999999999996,0.45238999999999996,340000000.0,340000000.0,1996,FY-1996
9,3963000000.0,2892250000.0,3963000000.0,0.25,0.0,3010250000.0,0.0,5902500000.0,0.0,2892250000.0,217250000.0,4062250000.0,952750000.0,952750000.0,0.0,337500000.0,615250000.0,0.45238999999999996,0.45238999999999996,340000000.0,340000000.0,1996,FY-1996
8,3963000000.0,2892250000.0,3963000000.0,0.25,0.0,3010250000.0,0.0,5902500000.0,0.0,2892250000.0,217250000.0,4062250000.0,952750000.0,952750000.0,0.0,337500000.0,615250000.0,0.45238999999999996,0.45238999999999996,340000000.0,340000000.0,1996,FY-1996
7,2113750000.0,1607250000.0,2113750000.0,0.25,0.0,1369750000.0,0.0,2977000000.0,0.0,1607250000.0,91500000.0,2440000000.0,744000000.0,744000000.0,0.0,290000000.0,451250000.0,0.57048,0.57048,197750000.0,197750000.0,1995,FY-1995
6,2113750000.0,1607250000.0,2113750000.0,0.25,0.0,1369750000.0,0.0,2977000000.0,0.0,1607250000.0,91500000.0,2440000000.0,744000000.0,744000000.0,0.0,290000000.0,451250000.0,0.57048,0.57048,197750000.0,197750000.0,1995,FY-1995
5,2113750000.0,1607250000.0,2113750000.0,0.25,0.0,1369750000.0,0.0,2977000000.0,0.0,1607250000.0,91500000.0,2440000000.0,744000000.0,744000000.0,0.0,290000000.0,451250000.0,0.57048,0.57048,197750000.0,197750000.0,1995,FY-1995
4,2113750000.0,1607250000.0,2113750000.0,0.25,0.0,1369750000.0,0.0,2977000000.0,0.0,1607250000.0,91500000.0,2440000000.0,744000000.0,744000000.0,0.0,290000000.0,451250000.0,0.57048,0.57048,197750000.0,197750000.0,1995,FY-1995
3,2067750000.0,1103500000.0,2067750000.0,0.25,0.0,1514750000.0,0.0,2618250000.0,0.0,1103500000.0,94250000.0,1750750000.0,553000000.0,553000000.0,0.0,229500000.0,323500000.0,0.41634499999999997,0.41634499999999997,194250000.0,194250000.0,1994,FY-1994
2,2067750000.0,1103500000.0,2067750000.0,0.25,0.0,1514750000.0,0.0,2618250000.0,0.0,1103500000.0,94250000.0,1750750000.0,553000000.0,553000000.0,0.0,229500000.0,323500000.0,0.41634499999999997,0.41634499999999997,194250000.0,194250000.0,1994,FY-1994
1,2067750000.0,1103500000.0,2067750000.0,0.25,0.0,1514750000.0,0.0,2618250000.0,0.0,1103500000.0,94250000.0,1750750000.0,553000000.0,553000000.0,0.0,229500000.0,323500000.0,0.41634499999999997,0.41634499999999997,194250000.0,194250000.0,1994,FY-1994
0,2067750000.0,1103500000.0,2067750000.0,0.25,0.0,1514750000.0,0.0,2618250000.0,0.0,1103500000.0,94250000.0,1750750000.0,553000000.0,553000000.0,0.0,229500000.0,323500000.0,0.41634499999999997,0.41634499999999997,194250000.0,194250000.0,1994,FY-1994
